,course,Study Hrs/wk,grades
224,MMW,6.5,3.4
225,MMW,6.17,3.08
226,MMW,6.73,3.01
227,MMW,6.44,3.0
228,MMW,6.15,2.73
229,MMW,9.5,
230,MMW,5.36,
231,MMW,6.0,3.14
232,MMW,5.46,2.79
233,MMW,6.24,3.32
234,MMW,5.76,3.23
235,MMW,6.14,2.84
236,MMW,5.83,3.05
237,MMW,7.08,3.27
238,MMW,5.76,3.04
239,MMW,5.91,
240,MMW,6.33,
241,MMW,5.85,3.06
242,MMW,6.21,3.28
243,MMW,6.35,3.23
244,MMW,4.79,3.24
245,MMW,6.68,3.07
246,MMW,6.36,3.02
247,MMW,9.3,
248,MMW,8.83,
249,HUM,6.41,3.04
250,HUM,5.63,2.73
251,HUM,6.16,2.82
252,HUM,6.33,2.97
253,HUM,5.04,2.97
254,HUM,5.99,3.1
255,HUM,6.14,2.91
256,HUM,7.0,3.03
257,HUM,6.83,3.09
258,HUM,6.1,3.05
259,HUM,6.13,3.02
260,HUM,5.03,2.91
261,HUM,5.96,2.96
262,HUM,6.34,3.21
263,HUM,6.66,2.76
264,HUM,6.32,2.99
265,HUM,6.64,2.72
266,HUM,6.07,2.88
267,HUM,5.85,2.99
268,HUM,6.11,3.06
269,HUM,6.85,2.75
270,HUM,6.47,2.99
271,HUM,5.97,2.94
272,HUM,6.66,3.02
273,HUM,5.57,2.81
274,HUM,6.55,3.05
275,HUM,6.14,3.08
276,HUM,6.04,3.17
277,HUM,6.59,2.9
278,HUM,6.99,2.84
279,HUM,6.7,3.06
280,HUM,7.72,2.59
281,HUM,11.33,2.38
282,HUM,6.4,2.97
283,HUM,6.5,2.9
284,HUM,7.2,2.78
285,HUM,7.43,2.63
286,HUM,7.35,2.72
287,HUM,6.52,2.7
288,HUM,7.91,2.61
289,HUM,7.21,2.53
290,HUM,5.47,2.99
291,HUM,5.95,2.76
292,HUM,6.04,2.85
293,HUM,6.39,2.82
294,HUM,5.21,2.85
295,HUM,4.97,2.96
296,DOC,5.04,3.25
297,DOC,4.31,3.32
298,DOC,4.61,3.32
299,DOC,4.43,3.34
300,DOC,3.87,3.28
301,DOC,4.18,3.35
302,DOC,4.36,3.35
303,DOC,5.17,3.23
304,DOC,5.01,3.37
305,DOC,5.16,3.27
306,DOC,5.57,3.25
307,DOC,5.9,3.26
308,DOC,5.14,3.19
309,DOC,5.63,3.11
310,DOC,5.3,3.16
311,DOC,5.04,3.16
312,DOC,5.21,3.16
313,DOC,4.96,3.2
314,DOC,4.33,3.04
315,DOC,5.42,3.16
316,DOC,5.02,3.16
317,DOC,5.38,3.15
318,DOC,5.57,3.28
319,DOC,6.69,3.11
320,DOC,5.99,2.99
321,DOC,5.93,2.93
322,DOC,4.98,2.94
323,DOC,5.05,3.23
324,DOC,5.4,3.3
325,DOC,5.48,3.21
326,DOC,4.81,3.24
327,DOC,6.02,3.19
328,DOC,5.43,3.22
329,DOC,5.44,3.34
330,DOC,4.66,3.21
331,DOC,4.88,3.29
332,DOC,4.88,3.24
333,DOC,5.33,3.24
334,DOC,4.48,3.4
335,DOC,4.67,3.36
336,DOC,4.26,3.39
337,DOC,4.68,3.27
338,DOC,4.4,3.28
339,DOC,4.86,3.26
340,DOC,4.75,3.28
341,DOC,4.56,3.29
342,DOC,4.79,3.23
343,DOC,4.79,3.2
344,DOC,4.91,3.21
345,DOC,4.88,3.34
346,DOC,4.99,3.25
347,DOC,4.78,3.16
348,DOC,5.39,3.23
349,DOC,4.96,3.12
350,DOC,6.15,3.08
351,DOC,6.64,3.01
352,DOC,6.09,3.15
353,DOC,6.73,3.0
354,DOC,6.59,3.04
355,DOC,6.38,3.12
356,DOC,6.82,2.75
357,DOC,6.05,3.02
358,DOC,5.87,3.12
359,DOC,5.41,3.23
360,DOC,5.88,3.04
361,DOC,5.39,2.94
362,DOC,5.68,3.33
363,DOC,4.82,3.28
364,DOC,4.78,3.1
365,DOC,9.21,
366,CAT,3.82,3.39
367,CAT,4.62,3.39
368,CAT,4.31,3.55
369,CAT,3.56,3.56
370,CAT,3.71,3.31
371,CAT,4.18,3.54
