Year,Month,Region,Average Temperature
2012,03,Northeast Climate Region,43.4
2012,04,Northeast Climate Region,46.0
2012,05,Northeast Climate Region,60.5
2012,06,Northeast Climate Region,64.8
2012,07,Northeast Climate Region,72.1
2012,08,Northeast Climate Region,69.6
2012,09,Northeast Climate Region,60.5
2012,10,Northeast Climate Region,51.6
2012,11,Northeast Climate Region,36.5
2012,12,Northeast Climate Region,32.4
2013,01,Northeast Climate Region,25.0
2013,02,Northeast Climate Region,25.3
2013,03,Northeast Climate Region,32.7
2013,04,Northeast Climate Region,45.1
2013,05,Northeast Climate Region,57.2
2013,06,Northeast Climate Region,65.3
2013,07,Northeast Climate Region,72.0
2013,08,Northeast Climate Region,66.6
2013,09,Northeast Climate Region,59.6
2013,10,Northeast Climate Region,51.5
2013,11,Northeast Climate Region,36.0
2013,12,Northeast Climate Region,26.6
2014,01,Northeast Climate Region,18.6
2014,02,Northeast Climate Region,21.0
2014,03,Northeast Climate Region,26.0
2014,04,Northeast Climate Region,44.6
2014,05,Northeast Climate Region,56.9
2014,06,Northeast Climate Region,65.7
2014,07,Northeast Climate Region,68.9
2014,08,Northeast Climate Region,66.2
2014,09,Northeast Climate Region,60.9
2014,10,Northeast Climate Region,51.9
2014,11,Northeast Climate Region,36.0
2014,12,Northeast Climate Region,31.6
2015,01,Northeast Climate Region,18.7
2015,02,Northeast Climate Region,12.1
2015,03,Northeast Climate Region,27.8
2015,04,Northeast Climate Region,44.6
2015,05,Northeast Climate Region,61.2
2015,06,Northeast Climate Region,63.8
2015,07,Northeast Climate Region,69.0
2015,08,Northeast Climate Region,68.8
2015,09,Northeast Climate Region,65.4
2015,10,Northeast Climate Region,48.4
2015,11,Northeast Climate Region,43.1
2015,12,Northeast Climate Region,39.4
2016,01,Northeast Climate Region,24.7
2016,02,Northeast Climate Region,28.1
2016,03,Northeast Climate Region,38.8
2016,04,Northeast Climate Region,43.4
2016,05,Northeast Climate Region,56.2
2016,06,Northeast Climate Region,65.1
2016,07,Northeast Climate Region,71.2
2016,08,Northeast Climate Region,71.4
2016,09,Northeast Climate Region,63.8
2016,10,Northeast Climate Region,51.4
2016,11,Northeast Climate Region,41.0
2016,12,Northeast Climate Region,28.3
2017,01,Northeast Climate Region,28.9
2017,02,Northeast Climate Region,31.4
2017,03,Northeast Climate Region,30.3
2017,04,Northeast Climate Region,49.7
2017,05,Northeast Climate Region,54.9
2017,06,Northeast Climate Region,65.0
2017,07,Northeast Climate Region,69.3
2017,08,Northeast Climate Region,66.4
2017,09,Northeast Climate Region,63.3
2017,10,Northeast Climate Region,55.4
2017,11,Northeast Climate Region,37.4
2017,12,Northeast Climate Region,24.2
2018,01,Northeast Climate Region,21.0
2018,02,Northeast Climate Region,30.8
2018,03,Northeast Climate Region,31.9
2018,04,Northeast Climate Region,40.6
2018,05,Northeast Climate Region,60.4
2018,06,Northeast Climate Region,64.2
2018,07,Northeast Climate Region,71.5
2018,08,Northeast Climate Region,71.3
2018,09,Northeast Climate Region,64.5
2000,01,Upper Midwest Climate Region,15.9
2000,02,Upper Midwest Climate Region,26.4
2000,03,Upper Midwest Climate Region,38.9
2000,04,Upper Midwest Climate Region,44.0
2000,05,Upper Midwest Climate Region,58.1
2000,06,Upper Midwest Climate Region,63.6
2000,07,Upper Midwest Climate Region,68.6
2000,08,Upper Midwest Climate Region,68.4
2000,09,Upper Midwest Climate Region,59.0
2000,10,Upper Midwest Climate Region,50.8
2000,11,Upper Midwest Climate Region,31.9
2000,12,Upper Midwest Climate Region,8.6
2001,01,Upper Midwest Climate Region,19.4
2001,02,Upper Midwest Climate Region,14.5
2001,03,Upper Midwest Climate Region,27.6
2001,04,Upper Midwest Climate Region,46.8
2001,05,Upper Midwest Climate Region,57.8
2001,06,Upper Midwest Climate Region,65.5
2001,07,Upper Midwest Climate Region,70.9
2001,08,Upper Midwest Climate Region,70.2
2001,09,Upper Midwest Climate Region,58.3
2001,10,Upper Midwest Climate Region,46.9
2001,11,Upper Midwest Climate Region,43.5
2001,12,Upper Midwest Climate Region,27.5
2002,01,Upper Midwest Climate Region,23.9
2002,02,Upper Midwest Climate Region,26.6
2002,03,Upper Midwest Climate Region,25.0
2002,04,Upper Midwest Climate Region,43.5
2002,05,Upper Midwest Climate Region,51.6
2002,06,Upper Midwest Climate Region,67.7
2002,07,Upper Midwest Climate Region,73.3
2002,08,Upper Midwest Climate Region,68.0
2002,09,Upper Midwest Climate Region,62.5
2002,10,Upper Midwest Climate Region,42.1
2002,11,Upper Midwest Climate Region,31.5
2002,12,Upper Midwest Climate Region,24.7
2003,01,Upper Midwest Climate Region,14.4
2003,02,Upper Midwest Climate Region,14.5
2003,03,Upper Midwest Climate Region,29.4
2003,04,Upper Midwest Climate Region,44.3
2003,05,Upper Midwest Climate Region,54.7
2003,06,Upper Midwest Climate Region,64.0
2003,07,Upper Midwest Climate Region,69.4
2003,08,Upper Midwest Climate Region,70.7
2003,09,Upper Midwest Climate Region,59.3
2003,10,Upper Midwest Climate Region,48.1
2003,11,Upper Midwest Climate Region,32.6
2003,12,Upper Midwest Climate Region,25.0
2004,01,Upper Midwest Climate Region,11.2
2004,02,Upper Midwest Climate Region,20.3
2004,03,Upper Midwest Climate Region,34.5
2004,04,Upper Midwest Climate Region,45.6
2004,05,Upper Midwest Climate Region,54.3
2004,06,Upper Midwest Climate Region,62.6
2004,07,Upper Midwest Climate Region,67.5
2004,08,Upper Midwest Climate Region,62.9
2004,09,Upper Midwest Climate Region,63.5
2004,10,Upper Midwest Climate Region,48.7
2004,11,Upper Midwest Climate Region,37.0
2004,12,Upper Midwest Climate Region,21.3
2005,01,Upper Midwest Climate Region,13.9
2005,02,Upper Midwest Climate Region,24.8
2005,03,Upper Midwest Climate Region,28.9
2005,04,Upper Midwest Climate Region,48.7
2005,05,Upper Midwest Climate Region,53.6
2005,06,Upper Midwest Climate Region,69.5
2005,07,Upper Midwest Climate Region,71.5
2005,08,Upper Midwest Climate Region,68.5
2005,09,Upper Midwest Climate Region,63.8
2005,10,Upper Midwest Climate Region,49.9
2005,11,Upper Midwest Climate Region,35.6
2005,12,Upper Midwest Climate Region,19.1
2006,01,Upper Midwest Climate Region,28.1
2006,02,Upper Midwest Climate Region,19.0
2006,03,Upper Midwest Climate Region,32.2
2006,04,Upper Midwest Climate Region,49.7
2006,05,Upper Midwest Climate Region,57.4
2006,06,Upper Midwest Climate Region,66.2
2006,07,Upper Midwest Climate Region,73.3
2006,08,Upper Midwest Climate Region,68.8
2006,09,Upper Midwest Climate Region,57.4
2006,10,Upper Midwest Climate Region,44.2
2006,11,Upper Midwest Climate Region,36.2
2006,12,Upper Midwest Climate Region,27.9
2007,01,Upper Midwest Climate Region,19.5
2007,02,Upper Midwest Climate Region,12.0
2007,03,Upper Midwest Climate Region,35.3
2007,04,Upper Midwest Climate Region,42.9
2007,05,Upper Midwest Climate Region,59.9
2007,06,Upper Midwest Climate Region,67.8
2007,07,Upper Midwest Climate Region,70.4
2007,08,Upper Midwest Climate Region,69.2
2007,09,Upper Midwest Climate Region,61.4
2007,10,Upper Midwest Climate Region,52.7
2007,11,Upper Midwest Climate Region,33.5
2007,12,Upper Midwest Climate Region,17.6
2008,01,Upper Midwest Climate Region,14.9
2008,02,Upper Midwest Climate Region,14.0
2008,03,Upper Midwest Climate Region,26.7
2008,04,Upper Midwest Climate Region,43.1
2008,05,Upper Midwest Climate Region,52.8
2008,06,Upper Midwest Climate Region,65.1
2008,07,Upper Midwest Climate Region,69.6
2008,08,Upper Midwest Climate Region,67.4
2008,09,Upper Midwest Climate Region,60.6
2008,10,Upper Midwest Climate Region,47.4
2008,11,Upper Midwest Climate Region,33.9
2008,12,Upper Midwest Climate Region,13.7
2009,01,Upper Midwest Climate Region,7.9
2009,02,Upper Midwest Climate Region,20.6
2009,03,Upper Midwest Climate Region,30.6
2009,04,Upper Midwest Climate Region,43.5
2009,05,Upper Midwest Climate Region,55.3
2009,06,Upper Midwest Climate Region,64.1
2009,07,Upper Midwest Climate Region,64.7
2009,08,Upper Midwest Climate Region,65.5
2009,09,Upper Midwest Climate Region,62.1
2009,10,Upper Midwest Climate Region,42.6
2009,11,Upper Midwest Climate Region,40.3
2009,12,Upper Midwest Climate Region,17.7
2010,01,Upper Midwest Climate Region,14.1
2010,02,Upper Midwest Climate Region,17.7
2010,03,Upper Midwest Climate Region,37.2
2010,04,Upper Midwest Climate Region,50.9
2010,05,Upper Midwest Climate Region,57.8
2010,06,Upper Midwest Climate Region,65.9
2010,07,Upper Midwest Climate Region,71.8
2010,08,Upper Midwest Climate Region,71.4
2010,09,Upper Midwest Climate Region,57.9
2010,10,Upper Midwest Climate Region,50.4
2010,11,Upper Midwest Climate Region,34.8
2010,12,Upper Midwest Climate Region,17.0
2011,01,Upper Midwest Climate Region,11.5
2011,02,Upper Midwest Climate Region,18.3
2011,03,Upper Midwest Climate Region,28.3
2011,04,Upper Midwest Climate Region,43.0
2011,05,Upper Midwest Climate Region,55.2
2011,06,Upper Midwest Climate Region,65.2
2011,07,Upper Midwest Climate Region,74.0
2011,08,Upper Midwest Climate Region,69.1
2011,09,Upper Midwest Climate Region,58.3
2011,10,Upper Midwest Climate Region,50.6
2011,11,Upper Midwest Climate Region,36.8
2011,12,Upper Midwest Climate Region,26.4
2012,01,Upper Midwest Climate Region,22.2
2012,02,Upper Midwest Climate Region,26.3
2012,03,Upper Midwest Climate Region,45.5
2012,04,Upper Midwest Climate Region,46.6
2012,05,Upper Midwest Climate Region,60.2
2012,06,Upper Midwest Climate Region,67.8
2012,07,Upper Midwest Climate Region,75.4
2012,08,Upper Midwest Climate Region,67.9
2012,09,Upper Midwest Climate Region,58.7
2012,10,Upper Midwest Climate Region,45.8
2012,11,Upper Midwest Climate Region,34.7
2012,12,Upper Midwest Climate Region,24.2
2013,01,Upper Midwest Climate Region,17.6
2013,02,Upper Midwest Climate Region,18.2
2013,03,Upper Midwest Climate Region,24.8
2013,04,Upper Midwest Climate Region,38.3
2013,05,Upper Midwest Climate Region,55.6
2013,06,Upper Midwest Climate Region,65.0
2013,07,Upper Midwest Climate Region,69.7
2013,08,Upper Midwest Climate Region,68.4
2013,09,Upper Midwest Climate Region,62.1
2013,10,Upper Midwest Climate Region,47.4
2013,11,Upper Midwest Climate Region,31.2
2013,12,Upper Midwest Climate Region,12.5
2014,01,Upper Midwest Climate Region,8.0
2014,02,Upper Midwest Climate Region,8.7
2014,03,Upper Midwest Climate Region,22.6
2014,04,Upper Midwest Climate Region,41.3
2014,05,Upper Midwest Climate Region,55.8
2014,06,Upper Midwest Climate Region,66.5
2014,07,Upper Midwest Climate Region,66.5
2014,08,Upper Midwest Climate Region,67.8
2014,09,Upper Midwest Climate Region,59.3
2014,10,Upper Midwest Climate Region,47.6
2014,11,Upper Midwest Climate Region,26.0
2014,12,Upper Midwest Climate Region,24.7
2015,01,Upper Midwest Climate Region,16.4
2015,02,Upper Midwest Climate Region,8.6
2015,03,Upper Midwest Climate Region,31.7
2015,04,Upper Midwest Climate Region,45.8
2015,05,Upper Midwest Climate Region,56.7
2015,06,Upper Midwest Climate Region,65.0
2015,07,Upper Midwest Climate Region,69.4
2015,08,Upper Midwest Climate Region,66.8
2015,09,Upper Midwest Climate Region,65.2
2015,10,Upper Midwest Climate Region,49.4
